Largo (tupla) [mm],Insertidumbre Largo [mm],Area [mm^2],Insertidumbre Area [mm^2],Diametro1 (tupla) [mm],Diametro2 (tupla) [mm],Diametro3 (tupla) [mm],Promedio Diametro [mm],Insertidumbre Diametro [mm],Volumen [mm^3],Insertidumbre Volumen [mm^3],Masa [g],Insertidumbre Masa [g]
"50,50",1,2500.0,100.0,"14,13,15","14,15,17","14,15,13",14.444444444444445,1.081551240773988,1577.9787517002228,354.46116672339883,0.62,0.01
"50,70",1,3500.0,86.02325267042627,"19,18,19","19,18,19","20,18,18",18.666666666666668,1.0274023338281628,3405.641576869291,562.3335167557073,0.87,0.01
"70,90",1,6300.0,114.0175425099138,"22,23,24","23,21,23","20,22,21",22.11111111111111,1.0858233492051146,5660.181052649077,833.8735285817002,1.57,0.01
"100,100",1,10000.0,200.0,"24,27,26","26,26,25","27,23,26",25.555555555555557,1.0943175335329005,8738.856382310703,1122.6228764308232,2.46,0.01
"100,120",1,12000.0,156.20499351813308,"30,28,31","27,28,28","30,29,25",28.444444444444443,1.1679886689793688,12050.109404044151,1484.4084515035286,2.96,0.01
"120,120",1,14400.0,240.0,"32,37,37","31,28,33","31,33,32",32.666666666666664,1.3844373104863457,18252.11032603385,2320.613497696625,3.58,0.01
"150,150",1,22500.0,300.0,"40,30,31","35,37,35","30,35,33",34.0,1.5,20579.526276115535,2723.7608306623506,5.52,0.01
"150,170",1,25500.0,226.71568097509268,"39,45,43","42,39,40","35,37,39",39.888888888888886,1.4283289035758266,33231.84394161931,3569.8665375077285,6.28,0.01
"190,190",1,36100.0,380.0,"46,50,51","47,42,46","40,41,38",44.55555555555556,1.8113155985445673,46313.13839877614,5648.299675760419,8.89,0.01
"200,200",1,40000.0,400.0,"45,49,49","46,46,49","45,40,41",45.55555555555556,1.4917468424552836,49501.99069000049,4862.926425099013,9.73,0.01
