Largo (tupla) [mm],Insertidumbre Largo [mm],Area [mm^2],Insertidumbre Area [mm^2],Diametro1 (tupla) [mm],Diametro2 (tupla) [mm],Diametro3 (tupla) [mm],Promedio Diametro [mm],Insertidumbre Diametro [mm],Volumen [mm^3],Insertidumbre Volumen [mm^3],Masa [g],Insertidumbre Masa [g]
"50,50",1,2500.0,100.0,"11,12,12","9,10,11","11,9,8",10.333333333333334,1.1055415967851334,577.7233749573676,185.42822587271547,0.19,0.01
"100,100",1,10000.0,200.0,"18,19,18","18,18,17","17,19,15",17.666666666666668,1.0801234497346432,2887.104256101776,529.5445486716602,0.86,0.01
"120,120",1,14400.0,240.0,"25,20,21","20,22,19","20,21,22",21.11111111111111,1.1600340565456166,4926.425242563417,812.1061504041487,1.20,0.01
"150,150",1,22500.0,300.0,"24,24,23","23,24,23","25,23,26",23.88888888888889,1.0599324460188286,7138.163211847384,950.1451693804904,1.90,0.01
"170,170",1,28900.0,340.0,"27,26,26","27,27,26","26,27,25",26.333333333333332,1.0274023338281628,9561.282100822578,1119.108251936342,2.40,0.01
"190,190",1,36100.0,380.0,"30,33,34","28,26,30","30,26,28",29.444444444444443,1.3653561919382786,13366.223407878588,1859.3989022829794,3.06,0.01
"200,200",1,40000.0,400.0,"34,33,32","27,31,30","30,34,33",31.555555555555557,1.259531560972737,16452.28083385791,1970.0651687543461,3.29,0.01
"230,230",1,52900.0,460.0,"33,35,36","31,34,34","35,36,34",34.22222222222222,1.1276546183435798,20985.689531541786,2074.4950078666416,4.32,0.01
"250,250",1,62500.0,500.0,"48,45,44","43,45,44","42,44,45",44.44444444444444,1.1439589045541112,45967.51939408933,3549.48433635143,5.16,0.01
"270,270",1,72900.0,540.0,"50,49,52","46,40,43","46,45,47",46.44444444444444,1.573311362056255,52456.575982815266,5330.919208672069,6.00,0.01
